212,46,-38,0,4
214,46,-27,0,2
222,48,-25,0,2
128,-3,-31,0,2
153,11,-28,0,1
172,22,-30,0,4
158,15,-35,0,1
134,0,-34,0,3
121,-6,-36,0,2
147,8,-37,0,2
180,29,-37,0,2
181,29,-33,0,2
201,41,-27,0,3
189,35,-30,0,1
200,40,-32,0,2
186,33,-33,0,3
213,46,-34,0,2
185,32,-37,0,2
188,35,-38,0,2
179,27,-41,0,2
175,24,-44,0,3
193,36,-44,0,4
177,26,-46,0,2
171,22,-38,0,2
144,6,-44,0,4
118,-7,-46,0,1
149,9,-47,0,2
137,2,-49,0,1
218,47,-46,0,2
211,46,-46,0,2
217,47,-47,0,4
219,47,-37,0,4
168,19,-11,0,1
150,10,-16,0,3
154,11,-16,0,1
155,11,-15,0,3
151,10,-15,0,3
140,3,-5,0,3
141,4,-8,0,2
