11,-48,-2,1,critical
35,-43,9,1,critical
7,-49,12,1,critical
46,-39,8,1,critical
59,-34,18,1,critical
63,-32,19,1,critical
72,-30,17,1,critical
74,-29,20,1,critical
22,-46,28,1,critical
5,-50,27,1,critical
17,-47,21,1,critical
4,-50,24,1,critical
16,-47,18,1,critical
23,-46,29,1,critical
36,-43,19,1,critical
44,-40,5,1,critical
117,-8,27,1,critical
127,-5,28,1,critical
114,-10,24,1,critical
126,-5,25,1,critical
103,-14,22,1,critical
142,4,27,1,critical
136,0,25,1,critical
123,-6,15,1,critical
98,-16,24,1,critical
89,-22,25,1,critical
64,-32,28,1,critical
48,-38,13,1,critical
62,-32,15,1,critical
12,-48,25,1,critical
47,-39,25,1,critical
67,-31,22,1,critical
56,-35,10,1,critical
102,-14,0,1,critical
90,-20,8,1,critical
112,-11,2,1,critical
131,-2,0,1,critical
88,-22,18,1,critical
110,-12,20,1,critical
119,-7,16,1,critical
104,-14,28,1,critical
75,-28,28,1,critical
96,-17,28,1,critical
93,-18,27,1,critical
95,-17,12,1,critical
92,-18,22,1,critical
